seed_index,burgers_gain,euler_gain,cross_equation_gain
1,1.9103697324245807,1.0904491222111112,1.4433159729667857
2,1.692511371781607,1.0856384473723049,1.355527726688375
3,1.7780467849983603,1.0847539986942378,1.3887920506297569
4,1.7828141371294866,1.0919315815318205,1.3952458780921333
5,1.8393694723054448,1.0930348924199302,1.417919254852647
6,1.8809160628411932,1.08643368804348,1.4295071091298495
7,1.983775879220745,1.0905788747063052,1.470871872744214
8,1.8534767593527328,1.091315126495458,1.4222261508246214
9,1.9035101455914993,1.087380374955593,1.4386937046658195
10,1.974939204947825,1.0880712733323503,1.465904026695322
