x,reference_density,fno_operator_density,hllc_piecewise_constant_density,hllc_fixed_mc_subcell_density,physics_gated_dkan_fv_sod_neighbourhood_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,hllc_muscl_fine_density,reference_velocity,fno_operator_velocity,hllc_piecewise_constant_velocity,hllc_fixed_mc_subcell_velocity,physics_gated_dkan_fv_sod_neighbourhood_velocity,sensor_gated_dkan_fv_engineering_tv_trust_0.02_velocity,hllc_muscl_fine_velocity,reference_pressure,fno_operator_pressure,hllc_piecewise_constant_pressure,hllc_fixed_mc_subcell_pressure,physics_gated_dkan_fv_sod_neighbourhood_pressure,sensor_gated_dkan_fv_engineering_tv_trust_0.02_pressure,hllc_muscl_fine_pressure
0.0009765625,1.0,1.0998291969299316,1.0,1.0,1.0,1.0,1.0,0.6,0.35765135288238525,0.6,0.6,0.6,0.6,0.6,1.0,0.9363290667533875,1.0,1.0,1.0,1.0,1.0
0.0029296875,1.0,1.123079538345337,1.0,1.0,1.0,1.0,1.0,0.6,0.3686307668685913,0.6,0.6,0.6,0.6,0.6,1.0,0.9618601202964783,1.0,1.0,1.0,1.0,1.0
0.0048828125,1.0,1.1434916257858276,1.0,1.0,1.0,1.0,1.0,0.6,0.3777959942817688,0.6,0.6,0.6,0.6,0.6,1.0,0.9850739240646362,1.0,1.0,1.0,1.0,1.0
0.0068359375,1.0,1.160300374031067,1.0,1.0,1.0,1.0,1.0,0.6,0.3854978382587433,0.6,0.6,0.6,0.6,0.6,1.0,1.0052900314331055,1.0,1.0,1.0,1.0,1.0
0.0087890625,1.0,1.173089861869812,1.0,1.0,1.0,1.0,1.0,0.6,0.39216533303260803,0.6,0.6,0.6,0.6,0.6,1.0,1.022235631942749,1.0,1.0,1.0,1.0,1.0
0.0107421875,1.0,1.1817625761032104,1.0,1.0,1.0,1.0,1.0,0.6,0.3982480764389038,0.6,0.6,0.6,0.6,0.6,1.0,1.0359950065612793,1.0,1.0,1.0,1.0,1.0
0.0126953125,1.0,1.1864725351333618,1.0,1.0,1.0,1.0,1.0,0.6,0.404167115688324,0.6,0.6,0.6,0.6,0.6,1.0,1.0469037294387817,1.0,1.0,1.0,1.0,1.0
0.0146484375,1.0,1.1875455379486084,1.0,1.0,1.0,1.0,1.0,0.6,0.41027870774269104,0.6,0.6,0.6,0.6,0.6,1.0,1.0554277896881104,1.0,1.0,1.0,1.0,1.0
0.0166015625,1.0,1.1854016780853271,1.0,1.0,1.0,1.0,1.0,0.6,0.4168502986431122,0.6,0.6,0.6,0.6,0.6,1.0,1.0620650053024292,1.0,1.0,1.0,1.0,1.0
0.0185546875,1.0,1.1804916858673096,1.0,1.0,1.0,1.0,1.0,0.6,0.4240477383136749,0.6,0.6,0.6,0.6,0.6,1.0,1.067276954650879,1.0,1.0,1.0,1.0,1.0
0.0205078125,1.0,1.173248052597046,1.0,1.0,1.0,1.0,1.0,0.6,0.4311003088951111,0.6,0.6,0.6,0.6,0.6,1.0,1.0714493989944458,1.0,1.0,1.0,1.0,1.0
0.0224609375,1.0,1.1640597581863403,1.0,1.0,1.0,1.0,1.0,0.6,0.4349960684776306,0.6,0.6,0.6,0.6,0.6,1.0,1.063238263130188,1.0,1.0,1.0,1.0,1.0
0.0244140625,1.0,1.1532706022262573,1.0,1.0,1.0,1.0,1.0,0.6,0.43861469626426697,0.6,0.6,0.6,0.6,0.6,1.0,1.046586036682129,1.0,1.0,1.0,1.0,1.0
0.0263671875,1.0,1.1411912441253662,1.0,1.0,1.0,1.0,1.0,0.6,0.4419657588005066,0.6,0.6,0.6,0.6,0.6,1.0,1.0280072689056396,1.0,1.0,1.0,1.0,1.0
0.0283203125,1.0,1.1281168460845947,1.0,1.0,1.0,1.0,1.0,0.6,0.44508183002471924,0.6,0.6,0.6,0.6,0.6,1.0,1.0079351663589478,1.0,1.0,1.0,1.0,1.0
0.0302734375,1.0,1.1143360137939453,1.0,1.0,1.0,1.0,1.0,0.6,0.44801002740859985,0.6,0.6,0.6,0.6,0.6,1.0,0.9868866205215454,1.0,1.0,1.0,1.0,1.0
0.0322265625,1.0,1.1001312732696533,1.0,1.0,1.0,1.0,1.0,0.6,0.4507980942726135,0.6,0.6,0.6,0.6,0.6,1.0,0.9654282927513123,1.0,1.0,1.0,1.0,1.0
