time,x,reference_density,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
0.0,0.0009765625,1.0,0.0,4.098629474639893,3.0986294746398926,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0029296875,1.0,0.0,4.217407703399658,3.217407703399658,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0048828125,1.0,0.0,4.292632102966309,3.2926321029663086,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0068359375,1.0,0.0,4.270084857940674,3.270084857940674,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0087890625,1.0,0.0,4.114962577819824,3.114962577819824,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0107421875,1.0,0.0,3.9657692909240723,2.9657692909240723,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0126953125,1.0,0.0,3.82443904876709,2.82443904876709,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0146484375,1.0,0.0,3.6928231716156006,2.6928231716156006,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0166015625,1.0,0.0,3.6453182697296143,2.6453182697296143,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0185546875,1.0,0.0,3.481293201446533,2.481293201446533,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0205078125,1.0,0.0,3.3570005893707275,2.3570005893707275,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0224609375,1.0,0.0,3.255462408065796,2.255462408065796,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0244140625,1.0,0.0,3.1511013507843018,2.1511013507843018,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
