time,x,reference_density,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
0.0,0.0009765625,0.445,0.0,1.0255916118621826,0.5805916118621826,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0029296875,0.445,0.0,1.0185507535934448,0.5735507535934448,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0048828125,0.445,0.0,1.010515570640564,0.5655155706405639,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0068359375,0.445,0.0,1.0018702745437622,0.5568702745437621,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0087890625,0.445,0.0,0.9929430484771729,0.5479430484771728,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0107421875,0.445,0.0,0.9839820861816406,0.5389820861816406,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0126953125,0.445,0.0,0.9751349687576294,0.5301349687576293,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0146484375,0.445,0.0,0.9664348363876343,0.5214348363876342,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0166015625,0.445,0.0,0.9577997326850891,0.512799732685089,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0185546875,0.445,0.0,0.9490439295768738,0.5040439295768737,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0205078125,0.445,0.0,0.939903736114502,0.49490373611450195,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0224609375,0.445,0.0,0.9300783276557922,0.48507832765579223,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0244140625,0.445,0.0,0.919279932975769,0.47427993297576904,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0263671875,0.445,0.0,0.9072843194007874,0.46228431940078735,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0283203125,0.445,0.0,0.893974244594574,0.44897424459457397,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0302734375,0.445,0.0,0.8793693780899048,0.4343693780899048,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0322265625,0.445,0.0,0.8636354207992554,0.41863542079925536,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0341796875,0.445,0.0,0.8470759391784668,0.4020759391784668,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0361328125,0.445,0.0,0.830107569694519,0.38510756969451904,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0380859375,0.445,0.0,0.813224196434021,0.368224196434021,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0400390625,0.445,0.0,0.7969599962234497,0.3519599962234497,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0419921875,0.445,0.0,0.7818537354469299,0.3368537354469299,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0439453125,0.445,0.0,0.7684183716773987,0.3234183716773987,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0458984375,0.445,0.0,0.7571179270744324,0.31211792707443237,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0478515625,0.445,0.0,0.7483461499214172,0.30334614992141723,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
0.0,0.0498046875,0.445,0.0,0.7424082159996033,0.29740821599960326,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0,0.445,0.0
