time,x,reference_density,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
0.0,0.0009765625,1.4,0.0,0.995305061340332,0.4046949386596679,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0029296875,1.4,0.0,1.0128077268600464,0.3871922731399535,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0048828125,1.4,0.0,1.0256061553955078,0.3743938446044921,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0068359375,1.4,0.0,1.0339628458023071,0.3660371541976928,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0087890625,1.4,0.0,1.038409948348999,0.3615900516510009,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0107421875,1.4,0.0,1.0396825075149536,0.3603174924850463,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0126953125,1.4,0.0,1.038635015487671,0.361364984512329,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0146484375,1.4,0.0,1.0361583232879639,0.36384167671203604,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0166015625,1.4,0.0,1.0331017971038818,0.3668982028961181,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0185546875,1.4,0.0,1.030219316482544,0.36978068351745597,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0205078125,1.4,0.0,1.0281339883804321,0.3718660116195678,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0224609375,1.4,0.0,1.02732515335083,0.37267484664916983,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0244140625,1.4,0.0,1.0281286239624023,0.37187137603759757,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0263671875,1.4,0.0,1.030742883682251,0.36925711631774893,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0283203125,1.4,0.0,1.0352351665496826,0.3647648334503173,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0302734375,1.4,0.0,1.0415452718734741,0.3584547281265258,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0322265625,1.4,0.0,1.0494869947433472,0.35051300525665274,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0341796875,1.4,0.0,1.0587518215179443,0.3412481784820556,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0361328125,1.4,0.0,1.06891667842865,0.33108332157135,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0380859375,1.4,0.0,1.0794615745544434,0.32053842544555655,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0400390625,1.4,0.0,1.0933595895767212,0.3066404104232787,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0419921875,1.4,0.0,1.1109591722488403,0.2890408277511596,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0439453125,1.4,0.0,1.1288453340530396,0.27115466594696036,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0458984375,1.4,0.0,1.146331787109375,0.2536682128906249,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0478515625,1.4,0.0,1.1627094745635986,0.23729052543640128,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0498046875,1.4,0.0,1.1772934198379517,0.22270658016204825,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0517578125,1.4,0.0,1.1894727945327759,0.21052720546722403,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0537109375,1.4,0.0,1.1987606287002563,0.20123937129974356,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0556640625,1.4,0.0,1.2048364877700806,0.19516351222991934,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0576171875,1.4,0.0,1.2075746059417725,0.19242539405822745,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0595703125,1.4,0.0,1.2070561647415161,0.1929438352584838,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0615234375,1.4,0.0,1.203559398651123,0.19644060134887686,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0634765625,1.4,0.0,1.1975291967391968,0.20247080326080313,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0654296875,1.4,0.0,1.1895352602005005,0.21046473979949942,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0673828125,1.4,0.0,1.180216908454895,0.2197830915451049,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0693359375,1.4,0.0,1.1702293157577515,0.22977068424224845,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0712890625,1.4,0.0,1.1601914167404175,0.23980858325958243,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0732421875,1.4,0.0,1.1506441831588745,0.2493558168411254,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0751953125,1.4,0.0,1.1420217752456665,0.2579782247543334,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0771484375,1.4,0.0,1.1346337795257568,0.2653662204742431,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0791015625,1.4,0.0,1.128659963607788,0.2713400363922118,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0810546875,1.4,0.0,1.1241530179977417,0.2758469820022582,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0830078125,1.4,0.0,1.1210497617721558,0.27895023822784415,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0849609375,1.4,0.0,1.1191842555999756,0.2808157444000243,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0869140625,1.4,0.0,1.1183050870895386,0.28169491291046134,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0888671875,1.4,0.0,1.1180933713912964,0.2819066286087035,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0908203125,1.4,0.0,1.1181832551956177,0.28181674480438224,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0927734375,1.4,0.0,1.1181846857070923,0.2818153142929076,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0947265625,1.4,0.0,1.117709994316101,0.28229000568389884,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0966796875,1.4,0.0,1.1164034605026245,0.2835965394973754,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.0986328125,1.4,0.0,1.1139684915542603,0.28603150844573966,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1005859375,1.4,0.0,1.110195517539978,0.2898044824600219,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1025390625,1.4,0.0,1.1049835681915283,0.2950164318084716,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1044921875,1.4,0.0,1.0983513593673706,0.3016486406326293,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1064453125,1.4,0.0,1.090440034866333,0.3095599651336669,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1083984375,1.4,0.0,1.0815010070800781,0.3184989929199218,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1103515625,1.4,0.0,1.0718742609024048,0.3281257390975951,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1123046875,1.4,0.0,1.0619611740112305,0.33803882598876944,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1142578125,1.4,0.0,1.0521864891052246,0.3478135108947753,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1162109375,1.4,0.0,1.0429675579071045,0.3570324420928954,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1181640625,1.4,0.0,1.034680724143982,0.365319275856018,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1201171875,1.4,0.0,1.0276376008987427,0.37236239910125724,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1220703125,1.4,0.0,1.0323076248168945,0.3676923751831054,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1240234375,1.4,0.0,1.0417970418930054,0.35820295810699454,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1259765625,1.4,0.0,1.0513179302215576,0.3486820697784423,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1279296875,1.4,0.0,1.0606814622879028,0.3393185377120971,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1298828125,1.4,0.0,1.069740653038025,0.330259346961975,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1318359375,1.4,0.0,1.0777909755706787,0.3222090244293212,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1337890625,1.4,0.0,1.0832123756408691,0.31678762435913077,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1357421875,1.4,0.0,1.0877364873886108,0.31226351261138907,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1376953125,1.4,0.0,1.0911555290222168,0.3088444709777831,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1396484375,1.4,0.0,1.0933959484100342,0.30660405158996573,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1416015625,1.4,0.0,1.094512701034546,0.305487298965454,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1435546875,1.4,0.0,1.0946712493896484,0.3053287506103515,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1455078125,1.4,0.0,1.0941218137741089,0.305878186225891,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1474609375,1.4,0.0,1.0931652784347534,0.3068347215652465,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1494140625,1.4,0.0,1.0921239852905273,0.30787601470947257,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1513671875,1.4,0.0,1.091310739517212,0.308689260482788,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1533203125,1.4,0.0,1.0910049676895142,0.30899503231048575,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1552734375,1.4,0.0,1.0914325714111328,0.3085674285888671,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1572265625,1.4,0.0,1.0927507877349854,0.30724921226501456,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1591796875,1.4,0.0,1.0950387716293335,0.3049612283706664,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1611328125,1.4,0.0,1.098292350769043,0.30170764923095694,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1630859375,1.4,0.0,1.1024255752563477,0.29757442474365225,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1650390625,1.4,0.0,1.107275128364563,0.2927248716354369,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1669921875,1.4,0.0,1.1126145124435425,0.28738548755645743,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1689453125,1.4,0.0,1.118170142173767,0.2818298578262328,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1708984375,1.4,0.0,1.123641848564148,0.27635815143585196,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1728515625,1.4,0.0,1.128726601600647,0.27127339839935294,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1748046875,1.4,0.0,1.1331403255462646,0.26685967445373526,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1767578125,1.4,0.0,1.1366372108459473,0.26336278915405265,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1787109375,1.4,0.0,1.1390252113342285,0.2609747886657714,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1806640625,1.4,0.0,1.1401742696762085,0.2598257303237914,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
0.0,0.1826171875,1.4,0.0,1.1400201320648193,0.2599798679351806,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0
