time,x,reference_density,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
0.0,0.0009765625,1.0,0.0,0.9232590198516846,0.07674098014831543,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0029296875,1.0,0.0,0.8850565552711487,0.11494344472885132,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0048828125,1.0,0.0,0.8487604856491089,0.1512395143508911,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0068359375,1.0,0.0,0.8159847855567932,0.1840152144432068,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0087890625,1.0,0.0,0.7926722168922424,0.20732778310775757,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0107421875,1.0,0.0,0.8145856261253357,0.1854143738746643,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0126953125,1.0,0.0,0.8404192924499512,0.15958070755004883,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0146484375,1.0,0.0,0.8700153827667236,0.12998461723327637,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0166015625,1.0,0.0,0.9029848575592041,0.0970151424407959,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0185546875,1.0,0.0,0.9386647939682007,0.061335206031799316,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0205078125,1.0,0.0,0.9761278629302979,0.02387213706970215,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0224609375,1.0,0.0,1.0142697095870972,0.014269709587097168,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0244140625,1.0,0.0,1.0519319772720337,0.05193197727203369,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
