x,exact_density,piecewise_density,fixed_mc_density,fine_hllc_density,dkan_fv_density,dkan_fv_min_density,dkan_fv_max_density,legacy_dkan_fv_density,legacy_dkan_fv_min_density,legacy_dkan_fv_max_density,dkan_tv2_density,dkan_tv2_min_density,dkan_tv2_max_density,fno_density,fno_min_density,fno_max_density,exact_velocity,piecewise_velocity,fixed_mc_velocity,fine_hllc_velocity,dkan_fv_velocity,dkan_fv_min_velocity,dkan_fv_max_velocity,legacy_dkan_fv_velocity,legacy_dkan_fv_min_velocity,legacy_dkan_fv_max_velocity,dkan_tv2_velocity,dkan_tv2_min_velocity,dkan_tv2_max_velocity,fno_velocity,fno_min_velocity,fno_max_velocity,exact_pressure,piecewise_pressure,fixed_mc_pressure,fine_hllc_pressure,dkan_fv_pressure,dkan_fv_min_pressure,dkan_fv_max_pressure,legacy_dkan_fv_pressure,legacy_dkan_fv_min_pressure,legacy_dkan_fv_max_pressure,dkan_tv2_pressure,dkan_tv2_min_pressure,dkan_tv2_max_pressure,fno_pressure,fno_min_pressure,fno_max_pressure
0.0009765625,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.89188474,0.88777983,0.9404251,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.13082927,-0.21387145,-0.12385473,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.5408332,1.3790004,1.5543516
0.0029296875,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8938139,0.8905156,0.9487786,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.13116679,-0.20107535,-0.11854297,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.5826446,1.4382125,1.5869199
0.0048828125,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8970363,0.8873353,0.9536321,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.1316491,-0.18963733,-0.11467251,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.6117275,1.4892912,1.6162484
0.0068359375,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8976032,0.8828015,0.955438,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.13203767,-0.17970377,-0.11207321,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.6288912,1.5314022,1.6422945
0.0087890625,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8958133,0.8774019,0.9547089,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.13209882,-0.17132917,-0.11061132,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.6389416,1.5643512,1.6616362
0.0107421875,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.89207286,0.8716111,0.9519728,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.1316351,-0.1644826,-0.11018497,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.642734,1.5885034,1.6752172
0.0126953125,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8868559,0.8658574,0.9477397,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.13051113,-0.1590611,-0.11071253,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.641337,1.6046662,1.683975
0.0146484375,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8806604,0.8605028,0.94247633,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.12867159,-0.15490511,-0.11212045,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.6359184,1.6139615,1.6887666
0.0166015625,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.87396896,0.8558329,0.9365906,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.12614876,-0.15181744,-0.11433318,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.6276487,1.6176997,1.6903256
0.0185546875,0.886704,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8867039999999998,0.8672156,0.8520594,0.9304299,-0.181424,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.18142400000000006,-0.123059034,-0.14958519,-0.11726847,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.73023,1.6176248,1.6172706,1.68926
