method,seed,iteration,training_loss,validation_loss,profile_validation_loss
FNO,71001,1,2.359778881072998,1.057402491569519,
FNO,71001,100,0.8513972163200378,0.30530786514282227,
FNO,71001,200,0.2875024974346161,0.1749691367149353,
FNO,71001,300,0.2997705638408661,0.1323125809431076,
FNO,71001,400,0.17630250751972198,0.11185598373413086,
FNO,71001,500,0.11328629404306412,0.09455763548612595,
FNO,71001,600,0.16656531393527985,0.0885719582438469,
FNO,71001,700,0.12813062965869904,0.1330225020647049,
FNO,71001,800,0.09180206060409546,0.08023720234632492,
FNO,71001,900,0.0939657986164093,0.07325313240289688,
FNO,71001,1000,0.0968603566288948,0.06519802659749985,
FNO,71001,1100,0.10471277683973312,0.06752101331949234,
FNO,71001,1200,0.06526146829128265,0.05529841408133507,
FNO,71001,1300,0.053314849734306335,0.05277535319328308,
FNO,71001,1400,0.05150587484240532,0.050419289618730545,
FNO,71001,1500,0.0838627740740776,0.04928110912442207,
FNO,71001,1600,0.068990558385849,0.045883748680353165,
FNO,71001,1700,0.049624402076005936,0.046529415994882584,
FNO,71001,1800,0.05343227460980415,0.04684397205710411,
FNO,71001,1900,0.04704885184764862,0.044575102627277374,
FNO,71001,2000,0.03926832973957062,0.043951380997896194,
FNO,71002,1,4.004815578460693,1.070593237876892,
FNO,71002,100,0.8087356090545654,0.35508525371551514,
FNO,71002,200,0.36466145515441895,0.19200901687145233,
FNO,71002,300,0.2651454508304596,0.14075835049152374,
FNO,71002,400,0.1901606321334839,0.12066666781902313,
FNO,71002,500,0.1323828101158142,0.1153816282749176,
FNO,71002,600,0.2607265114784241,0.10503796488046646,
FNO,71002,700,0.10313504934310913,0.09104987978935242,
FNO,71002,800,0.09824654459953308,0.07846549153327942,
FNO,71002,900,0.06655572354793549,0.07673843204975128,
FNO,71002,1000,0.07717065513134003,0.06898245960474014,
FNO,71002,1100,0.0765005573630333,0.05524979531764984,
FNO,71002,1200,0.06763377785682678,0.06748101115226746,
FNO,71002,1300,0.09262612462043762,0.06173829734325409,
FNO,71002,1400,0.05887913703918457,0.05067530646920204,
FNO,71002,1500,0.06326831132173538,0.05056465417146683,
FNO,71002,1600,0.06767619401216507,0.046890322118997574,
FNO,71002,1700,0.04843946918845177,0.04684440791606903,
FNO,71002,1800,0.04691478610038757,0.0469953678548336,
FNO,71002,1900,0.04304004833102226,0.04609280452132225,
FNO,71002,2000,0.05372608080506325,0.04571053758263588,
FNO,71003,1,1.910200595855713,1.0543558597564697,
FNO,71003,100,0.991121768951416,0.3127133250236511,
FNO,71003,200,0.528851330280304,0.14272433519363403,
FNO,71003,300,0.18556226789951324,0.1566985547542572,
FNO,71003,400,0.10313501954078674,0.10141845792531967,
FNO,71003,500,0.1876050978899002,0.10113763809204102,
FNO,71003,600,0.17541925609111786,0.11120310425758362,
FNO,71003,700,0.12950533628463745,0.08502066135406494,
FNO,71003,800,0.1052025854587555,0.10815634578466415,
FNO,71003,900,0.08470451831817627,0.0726141557097435,
FNO,71003,1000,0.08987107872962952,0.06863678991794586,
FNO,71003,1100,0.08465135097503662,0.06693428754806519,
FNO,71003,1200,0.06692437082529068,0.058318428695201874,
FNO,71003,1300,0.03949053958058357,0.05385574325919151,
FNO,71003,1400,0.052304014563560486,0.04991232976317406,
FNO,71003,1500,0.06297322362661362,0.050220075994729996,
FNO,71003,1600,0.08429187536239624,0.05092277377843857,
FNO,71003,1700,0.04868714511394501,0.04692127928137779,
FNO,71003,1800,0.05469831824302673,0.04659144952893257,
FNO,71003,1900,0.05179140344262123,0.04595186188817024,
FNO,71003,2000,0.039959874004125595,0.04676022008061409,
CSE-DKAN-FV,72001,1,0.12949000268491598,0.04384453406048523,0.004038037802299178
CSE-DKAN-FV,72001,100,0.11901829797633644,0.058212141784687206,0.0037432824205838613
CSE-DKAN-FV,72001,200,0.08569827076421126,0.06968291558956058,0.003652607235028836
CSE-DKAN-FV,72001,300,0.08986795716518049,0.06493283333172191,0.0035849422544205495
CSE-DKAN-FV,72001,400,0.0932642177825391,0.06797417742083213,0.0035509916809154415
CSE-DKAN-FV,72001,500,0.07741666076809756,0.06176220330014723,0.003491810576408763
CSE-DKAN-FV,72001,600,0.08024416627864168,0.06259463224846104,0.003475669752331331
CSE-DKAN-FV,72001,700,0.07031138048803356,0.061243983835878604,0.003481452598622302
CSE-DKAN-FV,72001,800,0.08155034220847703,0.0605067512804091,0.003448443991023717
CSE-DKAN-FV,72001,900,0.06988267178513412,0.055070827045009985,0.0034080357003161157
CSE-DKAN-FV,72001,1000,0.06499483274789182,0.05312548027942922,0.003423939321374518
CSE-DKAN-FV,72001,1100,0.06993181927168675,0.047950114678410066,0.0033792972829510665
CSE-DKAN-FV,72001,1200,0.049157270182535066,0.047745378082018355,0.0033835927667536306
CSE-DKAN-FV,72001,1300,0.06083207348434878,0.052421780240405794,0.0034021506137768497
CSE-DKAN-FV,72001,1400,0.05898586613720843,0.05332139490750968,0.003402160573908894
CSE-DKAN-FV,72001,1500,0.05816909159397904,0.048529945882845676,0.0033759434314360195
CSE-DKAN-FV,72001,1600,0.04372719744191302,0.05281557707552298,0.003398549168763148
CSE-DKAN-FV,72001,1700,0.04600069368650619,0.04949767625807428,0.003358955457970211
