x,reference_density,fno_operator_density,hllc_piecewise_constant_density,hllc_fixed_mc_subcell_density,physics_gated_dkan_fv_sod_neighbourhood_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,hllc_muscl_fine_density,reference_velocity,fno_operator_velocity,hllc_piecewise_constant_velocity,hllc_fixed_mc_subcell_velocity,physics_gated_dkan_fv_sod_neighbourhood_velocity,sensor_gated_dkan_fv_engineering_tv_trust_0.02_velocity,hllc_muscl_fine_velocity,reference_pressure,fno_operator_pressure,hllc_piecewise_constant_pressure,hllc_fixed_mc_subcell_pressure,physics_gated_dkan_fv_sod_neighbourhood_pressure,sensor_gated_dkan_fv_engineering_tv_trust_0.02_pressure,hllc_muscl_fine_pressure
0.0009765625,3.857143,1.9461697340011597,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.4740245044231415,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.239722967147827,10.33333,10.33333,10.33333,10.33333,10.33333
0.0029296875,3.857143,1.9390453100204468,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.46115589141845703,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.2490484714508057,10.33333,10.33333,10.33333,10.33333,10.33333
0.0048828125,3.857143,1.9150415658950806,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.448883593082428,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.263930082321167,10.33333,10.33333,10.33333,10.33333,10.33333
0.0068359375,3.857143,1.8932018280029297,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.43758702278137207,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.282928705215454,10.33333,10.33333,10.33333,10.33333,10.33333
0.0087890625,3.857143,1.8752659559249878,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.4275563359260559,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.30458927154541,10.33333,10.33333,10.33333,10.33333,10.33333
0.0107421875,3.857143,1.8608347177505493,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.4189680218696594,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.2710494995117188,10.33333,10.33333,10.33333,10.33333,10.33333
0.0126953125,3.857143,1.8496979475021362,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.41188621520996094,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.233635187149048,10.33333,10.33333,10.33333,10.33333,10.33333
0.0146484375,3.857143,1.8417714834213257,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.4062793254852295,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.203773260116577,10.33333,10.33333,10.33333,10.33333,10.33333
0.0166015625,3.857143,1.836479663848877,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.4020501673221588,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.1804096698760986,10.33333,10.33333,10.33333,10.33333,10.33333
0.0185546875,3.857143,1.818618893623352,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.39906591176986694,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.1622426509857178,10.33333,10.33333,10.33333,10.33333,10.33333
0.0205078125,3.857143,1.8005787134170532,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.39717942476272583,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.1478705406188965,10.33333,10.33333,10.33333,10.33333,10.33333
0.0224609375,3.857143,1.782583236694336,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.3962383270263672,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.135944128036499,10.33333,10.33333,10.33333,10.33333,10.33333
0.0244140625,3.857143,1.7649751901626587,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.3960767388343811,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.125295639038086,10.33333,10.33333,10.33333,10.33333,10.33333
0.0263671875,3.857143,1.7482305765151978,3.857143,3.857143,3.857143,3.857143,3.857143,2.629369,0.3965021073818207,2.629369,2.629369,2.629369,2.629369,2.629369,10.33333,2.1150567531585693,10.33333,10.33333,10.33333,10.33333,10.33333
