x,reference_density,fno_operator_density,hllc_piecewise_constant_density,hllc_fixed_mc_subcell_density,physics_gated_dkan_fv_sod_neighbourhood_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,hllc_muscl_fine_density,reference_velocity,fno_operator_velocity,hllc_piecewise_constant_velocity,hllc_fixed_mc_subcell_velocity,physics_gated_dkan_fv_sod_neighbourhood_velocity,sensor_gated_dkan_fv_engineering_tv_trust_0.02_velocity,hllc_muscl_fine_velocity,reference_pressure,fno_operator_pressure,hllc_piecewise_constant_pressure,hllc_fixed_mc_subcell_pressure,physics_gated_dkan_fv_sod_neighbourhood_pressure,sensor_gated_dkan_fv_engineering_tv_trust_0.02_pressure,hllc_muscl_fine_pressure
0.0009765625,1.0,0.9989569187164307,1.0,1.0,1.0,1.0,1.0,0.0,-0.14759555459022522,0.0,0.0,0.0,0.0,0.0,1.0,0.952860414981842,1.0,1.0,1.0,1.0,1.0
0.0029296875,1.0,1.0519745349884033,1.0,1.0,1.0,1.0,1.0,0.0,-0.1300961971282959,0.0,0.0,0.0,0.0,0.0,1.0,0.9956039786338806,1.0,1.0,1.0,1.0,1.0
0.0048828125,1.0,1.0963349342346191,1.0,1.0,1.0,1.0,1.0,0.0,-0.11341047286987305,0.0,0.0,0.0,0.0,0.0,1.0,1.0286704301834106,1.0,1.0,1.0,1.0,1.0
0.0068359375,1.0,1.1314648389816284,1.0,1.0,1.0,1.0,1.0,0.0,-0.09756171703338623,0.0,0.0,0.0,0.0,0.0,1.0,1.0523850917816162,1.0,1.0,1.0,1.0,1.0
0.0087890625,1.0,1.1573899984359741,1.0,1.0,1.0,1.0,1.0,0.0,-0.08257061243057251,0.0,0.0,0.0,0.0,0.0,1.0,1.0676532983779907,1.0,1.0,1.0,1.0,1.0
0.0107421875,1.0,1.173064112663269,1.0,1.0,1.0,1.0,1.0,0.0,-0.07874497771263123,0.0,0.0,0.0,0.0,0.0,1.0,1.0758190155029297,1.0,1.0,1.0,1.0,1.0
0.0126953125,1.0,1.1755858659744263,1.0,1.0,1.0,1.0,1.0,0.0,-0.07491740584373474,0.0,0.0,0.0,0.0,0.0,1.0,1.0784962177276611,1.0,1.0,1.0,1.0,1.0
0.0146484375,1.0,1.1718546152114868,1.0,1.0,1.0,1.0,1.0,0.0,-0.0702759325504303,0.0,0.0,0.0,0.0,0.0,1.0,1.077388048171997,1.0,1.0,1.0,1.0,1.0
0.0166015625,1.0,1.1639456748962402,1.0,1.0,1.0,1.0,1.0,0.0,-0.06460607051849365,0.0,0.0,0.0,0.0,0.0,1.0,1.0741043090820312,1.0,1.0,1.0,1.0,1.0
0.0185546875,1.0,1.1536400318145752,1.0,1.0,1.0,1.0,1.0,0.0,-0.05709370970726013,0.0,0.0,0.0,0.0,0.0,1.0,1.0700141191482544,1.0,1.0,1.0,1.0,1.0
