time,x,reference_density,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
0.0,0.0009765625,1.0,0.0,0.9508679509162903,0.04913204908370972,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0029296875,1.0,0.0,0.982422411441803,0.01757758855819702,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0048828125,1.0,0.0,1.0137546062469482,0.013754606246948242,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0068359375,1.0,0.0,1.0434259176254272,0.043425917625427246,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0087890625,1.0,0.0,1.0701663494110107,0.07016634941101074,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0107421875,1.0,0.0,1.092966914176941,0.09296691417694092,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0126953125,1.0,0.0,1.11111581325531,0.11111581325531006,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0146484375,1.0,0.0,1.1241800785064697,0.12418007850646973,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0166015625,1.0,0.0,1.1319619417190552,0.13196194171905518,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0185546875,1.0,0.0,1.13444185256958,0.13444185256958008,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0205078125,1.0,0.0,1.1317323446273804,0.13173234462738037,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0224609375,1.0,0.0,1.1240535974502563,0.12405359745025635,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0244140625,1.0,0.0,1.111742615699768,0.11174261569976807,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0263671875,1.0,0.0,1.095289945602417,0.09528994560241699,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0283203125,1.0,0.0,1.075385332107544,0.07538533210754395,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0302734375,1.0,0.0,1.052933692932129,0.052933692932128906,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0322265625,1.0,0.0,1.0290322303771973,0.029032230377197266,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0341796875,1.0,0.0,1.0048949718475342,0.00489497184753418,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0361328125,1.0,0.0,0.9817489981651306,0.018251001834869385,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0380859375,1.0,0.0,0.9607258439064026,0.03927415609359741,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0400390625,1.0,0.0,0.9427719712257385,0.057228028774261475,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0419921875,1.0,0.0,0.9285917282104492,0.07140827178955078,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0439453125,1.0,0.0,0.9186295866966248,0.08137041330337524,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0458984375,1.0,0.0,0.9130923748016357,0.08690762519836426,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0478515625,1.0,0.0,0.9120036959648132,0.08799630403518677,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0498046875,1.0,0.0,0.9152728915214539,0.08472710847854614,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0517578125,1.0,0.0,0.9227496385574341,0.07725036144256592,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0537109375,1.0,0.0,0.9342349171638489,0.06576508283615112,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0556640625,1.0,0.0,0.9494385719299316,0.05056142807006836,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0576171875,1.0,0.0,0.9679022431373596,0.03209775686264038,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0595703125,1.0,0.0,0.9862918257713318,0.013708174228668213,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0615234375,1.0,0.0,0.9970769286155701,0.0029230713844299316,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0634765625,1.0,0.0,1.0132215023040771,0.013221502304077148,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0654296875,1.0,0.0,1.0342860221862793,0.0342860221862793,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0673828125,1.0,0.0,1.0597180128097534,0.05971801280975342,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0693359375,1.0,0.0,1.0888861417770386,0.08888614177703857,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0712890625,1.0,0.0,1.1035027503967285,0.10350275039672852,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0732421875,1.0,0.0,1.1101415157318115,0.11014151573181152,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0751953125,1.0,0.0,1.111891269683838,0.11189126968383789,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0771484375,1.0,0.0,1.1091710329055786,0.10917103290557861,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0791015625,1.0,0.0,1.1027101278305054,0.10271012783050537,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0810546875,1.0,0.0,1.093408226966858,0.09340822696685791,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0830078125,1.0,0.0,1.0821917057037354,0.08219170570373535,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0849609375,1.0,0.0,1.0698869228363037,0.06988692283630371,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0869140625,1.0,0.0,1.0571324825286865,0.05713248252868652,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0888671875,1.0,0.0,1.044338345527649,0.044338345527648926,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
