time,x,reference_density,cse_blend,fno_operator_density,fno_operator_absolute_density_error,hllc_piecewise_constant_density,hllc_piecewise_constant_absolute_density_error,hllc_fixed_mc_subcell_density,hllc_fixed_mc_subcell_absolute_density_error,physics_gated_dkan_fv_sod_neighbourhood_density,physics_gated_dkan_fv_sod_neighbourhood_absolute_density_error,sensor_gated_dkan_fv_engineering_tv_trust_0.02_density,sensor_gated_dkan_fv_engineering_tv_trust_0.02_absolute_density_error,hllc_muscl_fine_density,hllc_muscl_fine_absolute_density_error
0.0,0.0009765625,1.0,0.0,0.575027346611023,0.42497265338897705,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0029296875,1.0,0.0,0.6176422834396362,0.38235771656036377,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0048828125,1.0,0.0,0.659228503704071,0.34077149629592896,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0068359375,1.0,0.0,0.6982085704803467,0.3017914295196533,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0087890625,1.0,0.0,0.7334405779838562,0.2665594220161438,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0107421875,1.0,0.0,0.7450951337814331,0.2549048662185669,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0126953125,1.0,0.0,0.7403932809829712,0.2596067190170288,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0146484375,1.0,0.0,0.7350761890411377,0.2649238109588623,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0166015625,1.0,0.0,0.7307066321372986,0.2692933678627014,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0185546875,1.0,0.0,0.7359791994094849,0.26402080059051514,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0205078125,1.0,0.0,0.7512916326522827,0.24870836734771729,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0224609375,1.0,0.0,0.7664985656738281,0.23350143432617188,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0244140625,1.0,0.0,0.7819039225578308,0.2180960774421692,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0263671875,1.0,0.0,0.7977637648582458,0.20223623514175415,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0283203125,1.0,0.0,0.8142924308776855,0.18570756912231445,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0302734375,1.0,0.0,0.8316577076911926,0.16834229230880737,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0322265625,1.0,0.0,0.8499720692634583,0.15002793073654175,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0341796875,1.0,0.0,0.8692792654037476,0.13072073459625244,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0361328125,1.0,0.0,0.8895435333251953,0.11045646667480469,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0380859375,1.0,0.0,0.9106428027153015,0.08935719728469849,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0400390625,1.0,0.0,0.9323690533638,0.06763094663619995,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0419921875,1.0,0.0,0.9470310211181641,0.05296897888183594,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0439453125,1.0,0.0,0.9542760848999023,0.045723915100097656,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0458984375,1.0,0.0,0.9630407691001892,0.03695923089981079,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0478515625,1.0,0.0,0.9734397530555725,0.02656024694442749,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0498046875,1.0,0.0,0.9854164719581604,0.0145835280418396,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0517578125,1.0,0.0,0.9987521767616272,0.0012478232383728027,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0537109375,1.0,0.0,1.0130974054336548,0.013097405433654785,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0556640625,1.0,0.0,1.0280166864395142,0.02801668643951416,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0576171875,1.0,0.0,1.0430479049682617,0.04304790496826172,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0595703125,1.0,0.0,1.0577583312988281,0.057758331298828125,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0615234375,1.0,0.0,1.0717928409576416,0.0717928409576416,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0634765625,1.0,0.0,1.084892749786377,0.08489274978637695,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0654296875,1.0,0.0,1.0968914031982422,0.09689140319824219,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0673828125,1.0,0.0,1.1076860427856445,0.10768604278564453,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0693359375,1.0,0.0,1.1172089576721191,0.11720895767211914,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0712890625,1.0,0.0,1.1254072189331055,0.12540721893310547,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0732421875,1.0,0.0,1.1322499513626099,0.13224995136260986,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0751953125,1.0,0.0,1.1377516984939575,0.13775169849395752,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0771484375,1.0,0.0,1.1420050859451294,0.1420050859451294,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0791015625,1.0,0.0,1.1452032327651978,0.14520323276519775,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0810546875,1.0,0.0,1.1476351022720337,0.1476351022720337,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
